"","county","year","crimerate","arrest","conviction","prison","sentence","police","popdensity","taxrevenue","region","urban","minority","mix","youngmale","wage","policelag1","policelag2","policelag3","policelag4","policelag5","policelag6"
"55","15","86",0.0194461,0.419277,0.626437,0.412844,12,0.0009372,0.3024251,33.26064,"other","no",61.054,0.2691132,0.0762736,280.823977777778,0.0008896,0.0009341,0.0008852,0.0008473,0.0009521,NA
"56","15","87",0.0202814,0.392111,0.769231,0.507692,10.64,0.0010353,0.3009986,34.00304,"other","no",61.054,0.234957,0.0743055,298.638388888889,0.0009372,0.0008896,0.0009341,0.0008852,0.0008473,0.0009521
"57","17","81",0.0186469,0.483986,0.463235,0.460317,7.93,0.0013272,0.3492605,24.73512,"other","no",40.389,0.3380952,0.0859525,218.411033333333,NA,NA,NA,NA,NA,NA
"58","17","82",0.0211586,0.420155,0.476015,0.387597,5.5,0.001345,0.3492605,24.06734,"other","no",40.389,0.288,0.084344,225.129833333333,0.0013272,NA,NA,NA,NA,NA
"59","17","83",0.0202915,0.3632,0.546256,0.427419,9.93,0.0012987,0.3481229,25.50103,"other","no",40.389,0.1574074,0.0826743,347.954822222222,0.001345,0.0013272,NA,NA,NA,NA
"60","17","84",0.0179276,0.422383,0.581197,0.404412,7.18,0.0012621,0.3503982,28.1753,"other","no",40.389,0.2590909,0.081045,247.441722222222,0.0012987,0.001345,0.0013272,NA,NA,NA
"61","17","85",0.0196959,0.464463,0.30605,0.453488,9.69,0.0013673,0.3503982,30.73238,"other","no",40.389,0.3444445,0.0796546,252.632866666667,0.0012621,0.0012987,0.001345,0.0013272,NA,NA
"62","17","86",0.0185879,0.395257,0.62,0.395161,7.56,0.0014327,0.3503982,33.03183,"other","no",40.389,0.2493827,0.0786561,270.922033333333,0.0013673,0.0012621,0.0012987,0.001345,0.0013272,NA
"63","17","87",0.0304289,0.251599,0.436441,0.436893,7.32,0.0012976,0.3503982,34.96204,"other","no",40.389,0.2181818,0.0776916,283.279122222222,0.0014327,0.0013673,0.0012621,0.0012987,0.001345,0.0013272
"64","19","81",0.0225338,0.326196,0.505792,0.40458,9.56,0.0019298,0.4337209,53.86683,"other","no",24.3117,0.2063733,0.0824936,269.696444444444,NA,NA,NA,NA,NA,NA
"65","19","82",0.0183782,0.189313,1.12903,0.435714,8.26,0.001936,0.4534884,56.80268,"other","no",24.3117,0.1064189,0.0822037,278.8597,0.0019298,NA,NA,NA,NA,NA
"66","19","83",0.0145267,0.232283,0.855932,0.356436,10.37,0.0021733,0.4767442,62.59023,"other","no",24.3117,0.0431212,0.0819392,251.121811111111,0.001936,0.0019298,NA,NA,NA,NA
"67","19","84",0.013686,0.217308,1.04425,0.457627,8.16,0.0019476,0.5046512,108.0157,"other","no",24.3117,0.0420842,0.0815946,306.132144444444,0.0021733,0.001936,0.0019298,NA,NA,NA
"68","19","85",0.0128511,0.291667,1.22078,0.356383,7.85,0.0018741,0.5302325,74.15498,"other","no",24.3117,0.0538922,0.0808785,327.265711111111,0.0019476,0.0021733,0.001936,0.0019298,NA,NA
"69","19","86",0.0174337,0.244819,0.84127,0.36478,6.74,0.001784,0.555814,59.5086,"other","no",24.3117,0.0827489,0.078943,333.628111111111,0.0018741,0.0019476,0.0021733,0.001936,0.0019298,NA
"70","19","87",0.0221567,0.16286,1.22561,0.333333,10.34,0.0020243,0.5767442,61.15251,"other","no",24.3117,0.0533473,0.0771323,349.910766666667,0.001784,0.0018741,0.0019476,0.0021733,0.001936,0.0019298
"71","21","81",0.0350348,0.262854,0.291417,0.541096,9.43,0.0018014,2.461305,25.49358,"west","yes",9.62444,0.0740045,0.0795678,265.753833333333,NA,NA,NA,NA,NA,NA
"72","21","82",0.0367896,0.240573,0.297741,0.565517,7.01,0.0017689,2.485584,24.50407,"west","yes",9.62444,0.0643183,0.0789607,283.125222222222,0.0018014,NA,NA,NA,NA,NA
"73","21","83",0.0366069,0.245824,0.307129,0.611714,8.89,0.0016787,2.497724,28.44128,"west","yes",9.62444,0.0778464,0.0783658,381.978666666667,0.0017689,0.0018014,NA,NA,NA,NA
"74","21","84",0.0384395,0.250543,0.296778,0.559499,8.06,0.0017722,2.52352,29.68316,"west","yes",9.62444,0.0808725,0.0777885,310.5638,0.0016787,0.0017689,0.0018014,NA,NA,NA
"75","21","85",0.0413296,0.258131,0.272985,0.469854,9.88,0.0019133,2.555387,45.85272,"west","yes",9.62444,0.0888499,0.0767823,321.012866666667,0.0017722,0.0016787,0.0017689,0.0018014,NA,NA
"76","21","86",0.0441642,0.248385,0.288191,0.413534,11.01,0.0018719,2.579666,40.03325,"west","yes",9.62444,0.0789779,0.0744677,337.7596,0.0019133,0.0017722,0.0016787,0.0017689,0.0018014,NA
"77","21","87",0.0437355,0.23476,0.334701,0.429072,10.62,0.0018296,2.602428,52.62629,"west","yes",9.62444,0.0628931,0.0721973,361.036266666667,0.0018719,0.0019133,0.0017722,0.0016787,0.0017689,0.0018014
"78","23","81",0.0319175,0.194303,0.28884,0.439394,9.45,0.0014249,1.452381,17.68813,"west","no",7.93198,0.0873786,0.0901801,250.072477777778,NA,NA,NA,NA,NA,NA
"79","23","82",0.0290211,0.286639,0.277419,0.47093,6.38,0.0013685,1.470238,18.24509,"west","no",7.93198,0.082041,0.0899827,267.408044444444,0.0014249,NA,NA,NA,NA,NA
"80","23","83",0.0286164,0.280522,0.307309,0.356757,6.63,0.0013735,1.468254,18.51124,"west","no",7.93198,0.0713929,0.0897668,368.213555555556,0.0013685,0.0014249,NA,NA,NA,NA
"81","23","84",0.02755,0.334615,0.310345,0.393519,6.07,0.0013643,1.484127,19.88842,"west","no",7.93198,0.0935857,0.0895291,296.089366666667,0.0013735,0.0013685,0.0014249,NA,NA,NA
"82","23","85",0.0293095,0.287442,0.294498,0.472527,5.66,0.0014041,1.501984,20.91201,"west","no",7.93198,0.0947047,0.0887623,306.645811111111,0.0013643,0.0013735,0.0013685,0.0014249,NA,NA
"83","23","86",0.0256248,0.304577,0.322971,0.385027,4.68,0.0013884,1.507936,24.31446,"west","no",7.93198,0.093157,0.0863694,319.731311111111,0.0014041,0.0013643,0.0013735,0.0013685,0.0014249,NA
"84","23","87",0.0269836,0.289121,0.40378,0.365957,7.07,0.0014611,1.511905,29.0828,"west","no",7.93198,0.0840065,0.0839781,333.290455555556,0.0013884,0.0014041,0.0013643,0.0013735,0.0013685,0.0014249
"85","25","81",0.0360686,0.255969,0.458955,0.617886,9.06,0.0015847,2.406593,18.93759,"central","no",15.0998,0.0680041,0.0837747,255.942511111111,NA,NA,NA,NA,NA,NA
"86","25","82",0.0370917,0.256811,0.43385,0.626374,8.25,0.0016122,2.450549,19.71914,"central","no",15.0998,0.0778621,0.0827224,273.940377777778,0.0015847,NA,NA,NA,NA,NA
"87","25","83",0.0312138,0.291217,0.372064,0.598007,7.38,0.0016854,2.478022,21.83251,"central","no",15.0998,0.0672301,0.0816718,407.019977777778,0.0016122,0.0015847,NA,NA,NA,NA
"88","25","84",0.029444,0.277323,0.41555,0.554839,8.15,0.0016528,2.510989,26.46894,"central","no",15.0998,0.0738523,0.0806566,307.322166666667,0.0016854,0.0016122,0.0015847,NA,NA,NA
"89","25","85",0.0305075,0.282043,0.453287,0.544529,6.85,0.0016077,2.532967,29.41294,"central","no",15.0998,0.0718271,0.0794865,321.312644444444,0.0016528,0.0016854,0.0016122,0.0015847,NA,NA
"90","25","86",0.0319331,0.301602,0.320735,0.493631,7.88,0.0018003,2.546703,31.01947,"central","no",15.0998,0.0751905,0.0779349,334.956077777778,0.0016077,0.0016528,0.0016854,0.0016122,0.0015847,NA
"91","25","87",0.0302542,0.323548,0.40678,0.492647,8.01,0.0019714,2.574176,33.03621,"central","no",15.0998,0.0884831,0.0764154,356.452266666667,0.0018003,0.0016077,0.0016528,0.0016854,0.0016122,0.0015847
"92","27","81",0.0353349,0.26433,0.230889,0.547297,7.39,0.0013843,1.44586,18.62241,"west","no",6.45795,0.1379634,0.0887975,240.391244444444,NA,NA,NA,NA,NA,NA
"93","27","82",0.0371544,0.303606,0.206897,0.364198,8,0.0013686,1.447983,18.93122,"west","no",6.45795,0.1331283,0.0887318,243.209977777778,0.0013843,NA,NA,NA,NA,NA
"94","27","83",0.0294409,0.244152,0.40519,0.433498,8.54,0.0014347,1.43949,18.74737,"west","no",6.45795,0.1262349,0.0886638,279.250944444444,0.0013686,0.0013843,NA,NA,NA,NA
"95","27","84",0.0300368,0.247358,0.339806,0.4,8.47,0.0014427,1.464968,25.42931,"west","no",6.45795,0.1260141,0.0885769,277.605222222222,0.0014347,0.0013686,0.0013843,NA,NA,NA
"96","27","85",0.0355283,0.221862,0.357664,0.505102,10.31,0.001424,1.492569,25.13492,"west","no",6.45795,0.1176471,0.087978,290.918633333333,0.0014427,0.0014347,0.0013686,0.0013843,NA,NA
"97","27","86",0.0366744,0.217357,0.316547,0.397727,8.28,0.0013907,1.488323,27.32131,"west","no",6.45795,0.1136265,0.0857493,305.368266666667,0.001424,0.0014427,0.0014347,0.0013686,0.0013843,NA
"98","27","87",0.0382489,0.268018,0.352941,0.321429,11.69,0.0014501,1.498938,43.06339,"west","no",6.45795,0.0895706,0.0835386,321.9994,0.0013907,0.001424,0.0014427,0.0014347,0.0013686,0.0013843
"99","33","81",0.020039,0.484561,0.303922,0.5,16.4,0.0006188,0.4953271,22.2749,"central","no",43.9169,0.5592592,0.0939623,213.417933333333,NA,NA,NA,NA,NA,NA
"100","33","82",0.0144477,0.485342,0.47651,0.478873,6.54,0.0006589,0.5046729,28.9783,"central","no",43.9169,0.1455224,0.0916909,226.271833333333,0.0006188,NA,NA,NA,NA,NA
"101","33","83",0.0161148,0.248555,0.872093,0.52,9.14,0.000652,0.5093458,26.02322,"central","no",43.9169,0.1019108,0.0895228,276.229377777778,0.0006589,0.0006188,NA,NA,NA,NA
"102","33","84",0.0141497,0.259615,0.938272,0.421053,8.97,0.0005442,0.5163552,23.88866,"central","no",43.9169,0.0833333,0.0873203,246.356755555556,0.000652,0.0006589,0.0006188,NA,NA,NA
"103","33","85",0.0153797,0.21791,1.30137,0.484211,6.87,0.0007805,0.5233645,26.73789,"central","no",43.9169,0.1166667,0.0851962,262.458533333333,0.0005442,0.000652,0.0006589,0.0006188,NA,NA
"104","33","86",0.0153723,0.255072,1.04545,0.413043,7,0.000802,0.5257009,26.96897,"central","no",43.9169,0.1237785,0.0825273,269.797477777778,0.0007805,0.0005442,0.000652,0.0006589,0.0006188,NA
"105","33","87",0.0159189,0.27095,0.515464,0.48,7.32,0.0007559,0.5257009,27.3811,"central","no",43.9169,0.1511254,0.080052,288.757122222222,0.000802,0.0007805,0.0005442,0.000652,0.0006589,0.0006188
"106","35","81",0.0414138,0.287653,0.252358,0.53271,11.52,0.0017513,2.694444,26.45751,"central","no",10.0838,0.1864771,0.0858721,270.547833333333,NA,NA,NA,NA,NA,NA
"107","35","82",0.0489555,0.239077,0.234968,0.457912,6.23,0.0017501,2.724747,28.31856,"central","no",10.0838,0.1566054,0.0849427,284.472588888889,0.0017513,NA,NA,NA,NA,NA
"108","35","83",0.0412081,0.285427,0.246672,0.511111,7.89,0.0017224,2.760101,26.40385,"central","no",10.0838,0.2065804,0.0840357,393.761333333333,0.0017501,0.0017513,NA,NA,NA,NA
"109","35","84",0.0404708,0.282276,0.27012,0.39233,7.47,0.0017568,2.800505,29.19857,"central","no",10.0838,0.1856,0.083153,313.826655555556,0.0017224,0.0017501,0.0017513,NA,NA,NA
"110","35","85",0.0455489,0.260844,0.299924,0.450633,8.76,0.0017862,2.84596,31.64337,"central","no",10.0838,0.1564361,0.0820833,332.154844444445,0.0017568,0.0017224,0.0017501,0.0017513,NA,NA
"111","35","86",0.0417065,0.252281,0.284272,0.449704,8.26,0.0019468,2.883838,32.36661,"central","no",10.0838,0.1797247,0.0804551,318.006904888889,0.0017862,0.0017568,0.0017224,0.0017501,0.0017513,NA
"112","35","87",0.0408569,0.266026,0.325301,0.37037,10.06,0.0018944,2.924242,56.86211,"central","no",10.0838,0.1812216,0.0789114,367.788233333333,0.0019468,0.0017862,0.0017568,0.0017224,0.0017501,0.0017513
"113","37","81",0.0223026,0.238786,0.712707,0.341085,12.26,0.0010886,0.480226,18.73018,"central","no",27.8079,0.0859599,0.0822112,232.830133333333,NA,NA,NA,NA,NA,NA
"114","37","82",0.0201309,0.325145,0.466667,0.390476,9.03,0.0011636,0.4844633,20.97966,"central","no",27.8079,0.0745342,0.0809873,248.797777777778,0.0010886,NA,NA,NA,NA,NA
"115","37","83",0.0190303,0.30711,0.359606,0.369863,8.97,0.0011228,0.4872881,21.78287,"central","no",27.8079,0.1146712,0.0797505,289.061855555556,0.0011636,0.0010886,NA,NA,NA,NA
"116","37","84",0.0196145,0.303338,0.363636,0.407895,12.27,0.0012526,0.4957627,26.88454,"central","no",27.8079,0.1185065,0.0785882,272.709233333333,0.0011228,0.0011636,0.0010886,NA,NA,NA
"117","37","85",0.0207011,0.371547,0.356877,0.53125,6.53,0.0012295,0.5,28.96895,"central","no",27.8079,0.171521,0.0770427,288.150011111111,0.0012526,0.0011228,0.0011636,0.0010886,NA,NA
"118","37","86",0.0252807,0.336689,0.451827,0.154412,6.78,0.0012725,0.5084746,30.38056,"central","no",27.8079,0.1091811,0.0742345,312.901233333333,0.0012295,0.0012526,0.0011228,0.0011636,0.0010886,NA
"119","37","87",0.0226017,0.321867,0.385496,0.316832,8.69,0.001305,0.5127119,34.70248,"central","no",27.8079,0.0810093,0.0715408,336.873411111111,0.0012725,0.0012295,0.0012526,0.0011228,0.0011636,0.0010886
"120","39","81",0.0158129,0.291803,0.280899,0.4,10.71,0.0011406,0.4269912,21.25022,"west","no",3.94549,0.2398374,0.072731,207.876344444444,NA,NA,NA,NA,NA,NA
"121","39","82",0.0188128,0.258856,0.357895,0.441176,6.27,0.0011277,0.4314159,19.8856,"west","no",3.94549,0.176282,0.0723607,226.574633333333,0.0011406,NA,NA,NA,NA,NA
"122","39","83",0.0168941,0.3003,0.43,0.348837,20.98,0.0011669,0.4336283,20.48361,"west","no",3.94549,0.168421,0.0720171,545.832711111111,0.0011277,0.0011406,NA,NA,NA,NA
"123","39","84",0.0142249,0.299296,0.458824,0.512821,5.84,0.0010018,0.4424779,22.2462,"west","no",3.94549,0.1687243,0.0716857,259.014044444444,0.0011669,0.0011277,0.0011406,NA,NA,NA
"124","39","85",0.0130587,0.286822,0.783784,0.258621,9.44,0.0011135,0.4469027,23.38863,"west","no",3.94549,0.1365639,0.0712311,255.062611111111,0.0010018,0.0011669,0.0011277,0.0011406,NA,NA
"125","39","86",0.0113079,0.20354,1.06522,0.44898,7.78,0.0010007,0.449115,28.14009,"west","no",3.94549,0.1530612,0.0704848,279.1099,0.0011135,0.0010018,0.0011669,0.0011277,0.0011406,NA
"126","39","87",0.0119154,0.308333,0.972973,0.291667,11.58,0.0011915,0.4623894,27.27564,"west","no",3.94549,0.1374408,0.0697329,290.002622222222,0.0010007,0.0011135,0.0010018,0.0011669,0.0011277,0.0011406
"127","41","81",0.0365365,0.389247,0.243094,0.659091,13.03,0.0017286,0.6923077,28.29884,"other","no",42.6421,0.1071429,0.0780852,241.689111111111,NA,NA,NA,NA,NA,NA
"128","41","82",0.0304537,0.423469,0.39759,0.560606,5.95,0.0017091,0.6923077,28.94018,"other","no",42.6421,0.1168091,0.0754642,247.816622222222,0.0017286,NA,NA,NA,NA,NA
"129","41","83",0.0220667,0.463415,0.496241,0.333333,6.44,0.0017684,0.6978022,27.89343,"other","no",42.6421,0.0749064,0.0728815,389.824277777778,0.0017091,0.0017286,NA,NA,NA,NA
"130","41","84",0.0158939,0.463415,0.536842,0.45098,6.15,0.0017057,0.7142857,30.95895,"other","no",42.6421,0.0904255,0.0703432,271.605811111111,0.0017684,0.0017091,0.0017286,NA,NA,NA
"131","41","85",0.0125242,0.549383,0.651685,0.5,4.69,0.0016235,0.7252747,31.85906,"other","no",42.6421,0.08,0.0680608,280.4044,0.0017057,0.0017684,0.0017091,0.0017286,NA,NA
"132","41","86",0.0246998,0.332308,0.25,0.555556,7.26,0.001748,0.7362638,39.99054,"other","no",42.6421,0.069079,0.0657382,294.860888888889,0.0016235,0.0017057,0.0017684,0.0017091,0.0017286,NA
"133","41","87",0.0257713,0.307246,0.45283,0.520833,17.41,0.001494,0.7417582,41.76929,"other","no",42.6421,0.0987261,0.0635553,318.250033333333,0.001748,0.0016235,0.0017057,0.0017684,0.0017091,0.0017286
